file_id,view_url,download_url
15WvCncJs4Ef6mXAy6GuoSlVeMGTvJwuG,https://drive.google.com/uc?export=view&id=15WvCncJs4Ef6mXAy6GuoSlVeMGTvJwuG,https://drive.google.com/uc?export=download&id=15WvCncJs4Ef6mXAy6GuoSlVeMGTvJwuG
15XgSpbFnzTLrdCRgPmVNOiKrfL5_M7Ut,https://drive.google.com/uc?export=view&id=15XgSpbFnzTLrdCRgPmVNOiKrfL5_M7Ut,https://drive.google.com/uc?export=download&id=15XgSpbFnzTLrdCRgPmVNOiKrfL5_M7Ut
15yUTPoOcIo-8DyKc4hmv6iguxiLoHAa3,https://drive.google.com/uc?export=view&id=15yUTPoOcIo-8DyKc4hmv6iguxiLoHAa3,https://drive.google.com/uc?export=download&id=15yUTPoOcIo-8DyKc4hmv6iguxiLoHAa3
166xC9aA50IaQCvR909WxUro9jx939V7K,https://drive.google.com/uc?export=view&id=166xC9aA50IaQCvR909WxUro9jx939V7K,https://drive.google.com/uc?export=download&id=166xC9aA50IaQCvR909WxUro9jx939V7K
16CQVB2lUuGIOFooJpevmmnxGwtJeMlDf,https://drive.google.com/uc?export=view&id=16CQVB2lUuGIOFooJpevmmnxGwtJeMlDf,https://drive.google.com/uc?export=download&id=16CQVB2lUuGIOFooJpevmmnxGwtJeMlDf
16F3ZSszj6nRT7WWxfx_lehm4Lb6abI6W,https://drive.google.com/uc?export=view&id=16F3ZSszj6nRT7WWxfx_lehm4Lb6abI6W,https://drive.google.com/uc?export=download&id=16F3ZSszj6nRT7WWxfx_lehm4Lb6abI6W
170PM70sivD-5PpWxF4qVzofiOmkrHmty,https://drive.google.com/uc?export=view&id=170PM70sivD-5PpWxF4qVzofiOmkrHmty,https://drive.google.com/uc?export=download&id=170PM70sivD-5PpWxF4qVzofiOmkrHmty
173csUY06EGBda76UZLTeBdw8Q99AcyBd,https://drive.google.com/uc?export=view&id=173csUY06EGBda76UZLTeBdw8Q99AcyBd,https://drive.google.com/uc?export=download&id=173csUY06EGBda76UZLTeBdw8Q99AcyBd
17C-OtxcJ9iOM0olQm_IZ5clFzNUQmdpU,https://drive.google.com/uc?export=view&id=17C-OtxcJ9iOM0olQm_IZ5clFzNUQmdpU,https://drive.google.com/uc?export=download&id=17C-OtxcJ9iOM0olQm_IZ5clFzNUQmdpU
17Suj86U--nMZ_KNuHIlR7mc5o8eoY0Hq,https://drive.google.com/uc?export=view&id=17Suj86U--nMZ_KNuHIlR7mc5o8eoY0Hq,https://drive.google.com/uc?export=download&id=17Suj86U--nMZ_KNuHIlR7mc5o8eoY0Hq
17ieMa2BVMIP-7lNCleygcTAOLLk9t9Yy,https://drive.google.com/uc?export=view&id=17ieMa2BVMIP-7lNCleygcTAOLLk9t9Yy,https://drive.google.com/uc?export=download&id=17ieMa2BVMIP-7lNCleygcTAOLLk9t9Yy
17mLK5bwwTXtiKCU4xbZ872nHiE3jyoJH,https://drive.google.com/uc?export=view&id=17mLK5bwwTXtiKCU4xbZ872nHiE3jyoJH,https://drive.google.com/uc?export=download&id=17mLK5bwwTXtiKCU4xbZ872nHiE3jyoJH
17q0Xmzf98-v_C7jD7k1ZMLV-W77QO1Pe,https://drive.google.com/uc?export=view&id=17q0Xmzf98-v_C7jD7k1ZMLV-W77QO1Pe,https://drive.google.com/uc?export=download&id=17q0Xmzf98-v_C7jD7k1ZMLV-W77QO1Pe
17srqWNHzjT2i3zg7cX2LGiwPP-Amis2X,https://drive.google.com/uc?export=view&id=17srqWNHzjT2i3zg7cX2LGiwPP-Amis2X,https://drive.google.com/uc?export=download&id=17srqWNHzjT2i3zg7cX2LGiwPP-Amis2X
